author_name,rating,content
Henryk Granek,5,Jest ok
Leszczu,4,"Brak opcji pokoju inwestora, przez co zmusza do korzystania z komputera oraz z technicznych rzeczy,to aplikacja nie zawsze wczytuje dane,tzn czasami pokazuje przy wszystkich np akcjach 0.0% lub nie pokazuje zysku (badź straty). Trzeba aplikacje wyłączyć i włączyc."
Romek Remek Isio,5,💣🥃🥃💃🕺🔥🔥🔥🔥🔥🤙👌💪🇵🇱
Patryk Maj,4,"Słabo działa przesuwanie linii trendu, na iPhonie po jej wyznaczeniu z łatwością dotykam palcem i mogę przesunąć w dowolne miejsce, a na androidzie przesuwa mi się cały wykres zamiast linii samej, poprawcie to. Smarfon Huawei, linie w ukosie mogę przesunąć, ale linie trendu w pionie i poziomie już nie."
PrzYkry,4,Giełdowe Zakłady Bukmacherskie to właściwa nazwa tej aplikacji
Wojciech Krakowiak,5,"Przesiadłem się chwilowo na starszy smartfon z powodu awarii(Samsung J3 2016) i nie mogę się zalogować :/ Uważajcie ludzie na siebie bo to uzależnia jak narkotyk :) Poza tym aplikacja działa super, otwieranie, modyfikowanie, zamykanie pozycji sprawniejsze niż na komputerze. Zdecydowanie stworzona pod szybkie zagrania. Desktop wciąż wygrywa jednak pod względem wygody podczas analizowania rynków."
Tomasz M,5,"wiele szczegółów mnie miło zaskoczyło, jest to najbardziej dopracowana apka jaką poznałem. bardziej funkcjonalna niż np apka Oandy"
Arus,5,gg
Jakub Barocha,1,Po zainstalowaniu ktoś próbował wejść na moje konto bankowe.
Marcin Les,1,Uwaga na scamerow lepiej poszukać pewniejszego domu maklerskiego żerują na inwestorach 23.02 ok 13.3 chwilę przed publikacją ważnych danych w USA padł system brak możliwości zalogowania się na konta mnóstwo ludzi z otwartymi pozycjami straciło pewnie dużo pieniędzy to jest skandal i zapewne niezlykly zbieg okoliczności stracili klienci spółka zarobiła
Tomasz Janyk,1,"Katastrofa! Awaria, nie da się zalogować z telefonu, ani z komputera!"
Przemek Kuczyński,1,"Zawsze jak są jakieś ważne dane rynkowe, to aplikacja się zawiesza, nie można sprzedać/kupić lub poprostu się zalogować. ""Coś poszło nie tak... Skontaktuj się"""
Pawel Gobi,1,Aplikacja wyrzuca do okna logowania. Nie pozwala się zalogować oraz nie można wysłać zgłoszenia problemu z aplikacją.
Szymon,1,"Dziś wyniki, xtb ma awarie nie można się zalogować. Nie pierwszy raz taka sytuacja się zdarza. Nie polecam!"
Rafał W.,4,w pożądku
D'av,4,"Daję 4 gwiazdki. Generalnie wszystko można zrobić bez kompa, ale parę rzeczy można by usprawnić. Brakuje bardzo sortowania obserwowanych list (po nazwie, zmianie itp.), występują spore lagi w ""ciekawych"" momentach rynku. Bardzo wolno pobierane są też dane w profilu usera. Powinna być możliwość szablonu dla wykresów/wskaźników i stosowania domyślnie dla każdego waloru."
White Morini,1,"WIELKIE OSZUSTWO, DZIWIĘ SIĘ JAKIM CUDEM TA FIRMA TRAFIŁA NA GIEŁDĘ TO JEST TAKA SAMA PIRAMIDA FINANSOWA JAK AMBER GOLD POD PŁASZCZEM PAŃSTWA"
