author_name,rating,content
Damian Turula,1,XTB nagle przestało wystawiać PIT-8C dla operacji na rynkach zagraniczych
Maciek Kuzdra,1,Usunięcie wystawienia PITa na zagraniczne akcje to chamstwo.
KamilSidious,1,"Brak rozliczenia giełdy zagranicznej w PIT, przy wyborze maklera uważajcie bo sami będziecie musieli to rozliczać."
mariusz wnęk,5,Super polecam
Darek Kubicki,5,This is IT!
Krzysztof Kusz,5,Po ostatniej aktualizacji grafika rolowania pozycji wchodzi na wykres świecowy przesłaniając go... zdecydowanie do poprawy. Generalnie spoko.
Jees Sz,5,"super aplikacja mobilna...,"
Ireneusz Luczak,4,"Dobra platforma, stabilna i przyjazna w użytkowaniu. Czasami przeszkadza oczekiwanie na odświeżenie wykresu."
Krzysiu Kałuża,5,"prosta w obsłudze, wygodna"
JJ DD,1,"O 16 godzinie w momencie ważnego wydarzenia ekonomicznego dwukrotnie wybrane zlecenie krótkiej sprzedaży nie zostaje zaakceptowane, po kilku sekundach aplikacja przestaje dzialac. Odwiesza się dopiero gdy rynek wraca do poprzedniej ceny po korekcie na której miałem zarobić kilka tys zł. W sumie to mam szczęście że zlecenie nie zostało przyjęte bo nie mógłbym zrealizować zysku. Support nie odbiera telefonu, nie odpowiada na czacie. Dzisiaj wypłaciłem wszystkie srodki. Nie polecam."
s1kor,5,super
Michal Dziadek,5,Bardzo intuicyjny interfejs.
Szymon Partyka,3,"Ogółem spoko apka, nie pozwala mi jednak zostawiać zleceń poza sesją - w tym celu i tak muszę się logować na komputerze. Dość irytujące."
Halina Halina,5,Apka niezła. Firma super! Od amerykańskich dywidend tylko 15% podatku. Polecam.
Daniel Sienkiewicz,5,"Świetna aplikacja, czytelny interfejs i masa opcji."
Mozesz 999,1,Amatorszczyzna znikają pieniądze obsługa klijenta pozal się Boże kompletna olewka mówią jedno robią drugie odradzam to jakaś mafia
Karolina Iwan,5,super apka
Przem N1co,4,"Uwaga na opłaty w USD, wyszło mi około 20%"
Tomasz PIętka,5,US. 100 nie zawsze pokazuje na smartfonie cenę minimalną dzień pod tranzakkcjami.
M B,5,"Ogólnie wszystko działa ok, ale brakuje mi kilka wskaźników, czy jest szansa że będzie VWAP??"
Karol Brzozowski,5,Platforma prosta i przyjemna w obsłudze.
Mario Siara,4,Jedyny minus to brak możliwości ustawienia S/L z aplikacji.
Karol Ptaszkiewicz,5,super apka
Karol,5,"Dużo informacji, intuicyjna aplikacja, wszystko na swoim miejscu."
cris cross,5,The Best platform in The World. Super polecam!!!
Mariusz Banaś,3,Jest ok
What's my name?,5,"Korzystam już można powiedzieć całkiem intensywnie od bodajże miesiąca czy dwóch i jak dla mnie ekstra platforma. Rzadko wystawiam jakieś opinie chyba że coś faktycznie jest git albo bardzo słabe, w tym przypadku mam przyjemność polecić platformę innym. Tak bardziej szczegółowo to świetnie się sprawdza oraz pracuje na wykresach, oraz sama platforma jest dobrze zrobiona (przejrzysta i logicznie poukładana)"
Łukasz Dulian,5,Super.
Jarosław Piękny,4,"szkoda,że nie ma wszystkich akcji oraz czas do 16:50 porażka"
FitKlub24. pl (FitLife24),5,Bardzo fajna intuicyjna aplikacja.
Marcin Kowalik,5,Działa świetnie Lecz uważajcie to już ponad 6 tys straciłem Kasyno w telefonie inaczej... 86 % ludzi traci kasę jak to xtb ostrzega...
Tadeusz C.,1,"Mam fantazje by odzwyskac to co stracilem na XTB😅 Tak to zdziercy sie zrobili nie dosc ze zarabiaja na roznicach kursu to jeszcze prowizje wysokie np. Srebro kupilem po 23.7$ teraz sprzedaz jest po 24,12$ a mi pokazuje ze bede w plecy nadal 1900zl na kazdej jednostce"
Kacper Sikora,1,"Nie wpłacać pieniędzy prowizja 50zl za wyplaty. Uwaga! Oszuści! Zgłaszam sprawę do rzecznika praw konsumenta. Zatajone informacje na temat prowizji od wypłat, która wynosi 50 zł!!!"
Łukasz Janus,5,jest ok
Filip France,5,Best broker I have ever used in my 7 year investing career. Great job!
Iwo 86,4,Niepotrzebne nerwy zepsuły pierwsze wrażenie ale ogólnie jest ok
Oskar Krzyżanowski,5,"Aplikacja super i cały czas jest ulepszana. W zasadzie funkcjonalnością dorównuje platformie stacjonarnej, a niektóre rzeczy robi się nawet wygodniej w telefonie. Ogólnie zdecydowanie polecam sama aplikacje jak i biuro XTB"
Użytkownik Google,5,Brakuje niewiele np. aktualna cena. Bid i ask są podstawowe ale aktualna jest odniesieniem.
Wojciech Wysoczyński,5,strona przejrzysta polecam
JBA JBA,2,Nie wiem
Tomasz Zadorożny,2,Aplikacja posiada błędy i niedopowiedzenia. Ale pozwala na operacje w dziedzinie zakupu walorów. Przy sprzedaży to już loteria.
Mr_ Black887 (Jasiek Herba),4,Dodajcie proszę więcej wskaźników i możliwości dla aplikacje mobilnej i będzie wręcz ideolo!!
Piotr,4,Brak pełnego trybu landscape!!!
Miroslaw Bujko,2,"Stale problemy z lagowaniem się kwoty ""wolnych środków"", nie ma wtedy możliwości zakładania zleceń, ani zamykania, aby uchronić się przed zamknięciem stop loss. Kiedy pisze się do help desk, to żadnej odpowiedzi, bo wszyscy konsultanci zajęci/niedostępni. Reinstalacja aplikacji nic nie pomaga. Takie zachowanie zasługuje na odszkodowanie. Kiedyś była zakładka ""największe zmiany""- bardzo przydatna , ale ją usunęli żeby inwestorzy nie wiedzieli co się dzieje na najbardziej gorących instrumentach."
JaroRako,4,"Stabilność aplikacji jest na tragicznym poziomie. Za każdym razem podczas odpalenia ukazuje się czerwony kwadracik i trwa wczytywanie instrumentów. Jedyna możliwość aby ""pomóc"" aplikacji to wyłączenie jej i uruchomienie ponownie i... to też nic nie daje. Taki zabieg należy wykonać kilkukrotnie, po czym za którymś razem z kolei kończy się to długo wyczekiwanym sukcesem. Poprawcie to ponieważ tak to działać, a raczej nie działać nie może. Nie jestem szybki do negatywnych ocen lecz tutaj musiałem."
Michał,3,"Brakuje wykresu pokazującego historie portfela czyli wykresu sumującego wartość wszystkich aktyw. Tak jak w trading212. Pokazuje ile zarobilismy lub straciliśmy tylko w ujęciu nominalnym, ale powinno też pokazywać w ujęciu procentowym. Chodzi mi o sume wartosci w portfelu a nie pojedyncze aktywa bo tam % jest pokazany"
Robert Martini,5,Korzystam już długo i tylko jedna rzecz mnie strasznie irytuje . Jak rysuje linie trendu na jakimś interwale i gdy przechodzę na mniejszy to ta linia znajduje się w zupełnie innym miejscu. Pozatym wszystko ok.
Rafał Piotrowski,5,ok
Piotrek Novak,4,love ♥️
Sebastian Szlachciak,5,"Mimo, że to tylko broker (trzeba mocno uważać), a nie rynek otwarty o aplikacji mogę powiedzieć jedno: jest to najlepsza aplikacja giełdowa na telefon z jaką miałem do czynienia. Brawo. 😊 Update: Niestety obecne nowe zmiany tej mega dobrej apki idą w złym kierunku (gorszy wygląd, jakieś nikomu nie potrzebne ikonki, po co to komu?, ja chcę handlować, a nie podziwiać grafikę)."
Michal Brzoza,5,Aplikacja działa bez zarzutu 👍
Mariusz,1,Konto demo ważne tylko tydzień.
Marcin Malinowski,5,Super apka.
Darek Ilnicki,5,aplikacja super. Polecam. szkoda tylko że ma tak mało ETF😀
Mateusz grela,5,działa jak złoto
Bobby P.,1,"Aplikacja zamyka sama pozycję uznając ryzyko utracenia dużego kapitału, skoro inwestuje swoje pieniądze to co ich obchodzi czy stracę wszystkie czy dużą część? Przez was zamknięte zostały dwie pozycje ze stratą ponad 2000zl które po dwóch dniach wychodziły już na zero także nie polecam, chyba że chcecie żeby ktoś za was decydował kiedy wam zamknąć pozycję. Nara"
Grzegorz Dachowski,1,"Index na którym jest otwarta pozycja, chcąc wyjść szybko z zyskiem nagle index znika z platformy. Chcąc powrucić do tego indexu trzeba wejść w menu indexy i tam trzeba nacisnąć lupkę wpisać ten index i dopiero powraca na platformę. Po takim czasie pozycjia jest już bez zysku. Nie mam nic do xtb tylko do aplikacji. Kontaktowałem się wiele razy i mają to gdzieś .tracicie klijętów .a stracicie ich jak dam fimiki na youtube."
Piotr Kiraga,4,"Drobne sugestie niezwykle poprawiające UX: 1. Alarmy cenowe mają opis ale nie jest on nigdzie wyświetlany poza listą alarmów. Dobrze by było je dodać do powiadomień o alarmach. 2. Powiadomienie o alarmie cenowym otwiera aplikację, fajnie, ale na ekranie głównym a nie na konkretnym indeksie z danego alarmu."
Adam Nowak,1,Do handlu akcjami bezużyteczna aplikacja. Brak zleceń limit
TS,1,16:41 handel volx poza godzinami handlu... Inspekcjo nadzoru finansowego gdzie jesteś...
Grzegorz Deląg,5,"Aplikacja na telefon świetna, przejrzysta i intuicyjna. Chciałbym jednak nadmienić, że w logowaniu do platform XTB brakuje mi opcji włączenia uwierzytelniania dwustopniowego."
Dawid Skalski,2,Za krótki czas na działanie konta demo
Good Man,5,It's OK!
Marcin Banach,1,Stop los nie można włączyć na zysku ...
Lukasz Szym,5,ok
Piotr C,5,Rewelacja. Są dziesięć lat do przodu w porównaniu do aplikacji większości innych brokerów.
Damian Pawelec,5,"Świetna apka, najmniej problemów wśród brokerów u których miałem rachunek. Dobrze się zapoznać z api przez konto demo żeby nie zrobić sobie krzywdy."
Greg plays,5,Super
Smykuś95,1,Można na tym zarobić ??
Antoni Pawlewski,4,"Fajnie by było ,gdyby dało się dodać widgety na ekran startowy z notowaniami i otwartymi pozycjami.... dalego 4 gwiazdki. Jak zostanie to dodane chętnie dam 5."
Piotr Pachowicz,3,"Podczas ustawiania zlecenia oczekującego jego wartość podawana jest według aktualnej ceny, a nie żadnej. Aplikacja nawet na tablecie nie pozwala na obracanie do poziomu każdej zawartości ekranu."
pawlorka pawlorka,4,ok
Michał Herda,2,"Brak Auto Breakeven. Przy daytradingu to absolutna PODSTAWA. Sory, ciągłe gapienie się w wykres i przestawianie SL na BE to zabójstwo dla psychiki, a i prędzej czy później błąd nieunikniony. Dlatego u Was gram obecnie za 100-200PLN, a grubą kasę wpłacam do brokera MT5. Pomimo, ze xStation to dobra i czytelna apka w wielu aspektach, bo MT5 wygląda jak z lat 90-ych. Nie piszcie, że mam sobie napisać rozszerzenie - nie jestem zainteresowany nauką programowania, szybciej znalazłem brokera MT5."
Marcin Badurak,5,"Ok, jakie wymagania musi spełniać smartwatch żeby aplikacja w pełni działała na nim samo bt wystarczy czy musi obsługiwać połączenia sieciowe?"
Sebastian Kuśnierz,5,Czy planujecie również wersję na smartwatch (android)? z tego co widziałem na IOS już jest
Wojciech Marian Matysik,5,bardzo istotne i przydatne informacje.
Arkadiusz Siwiec,5,Ok.
Rafał K,5,Po aktualizacji dużo lepiej. Znów wszystko działa jak należy.
Jacek kamosor,4,"Bardzo fajna aplikacja, bardzo przydatna jest informacja dźwiękowa powiadamiająca o zakupie lub sprzedaży i alarm pułapu cenowego. Brakuje mi inf. odniesienia, wideł, ilość akcji po stronie kupna/sprzedaży,tko, pozatym w/g mnie wykres jest mało przejrzysty. Rewelacyjna pomoc techniczna szczególnie miły i kompetentny, bardzo pomocny Pan Max P."
Michal Dabrowski,2,Po aktualizacji brak zakładki największe zmiany. Było to bardzo pomocne
ZalKsen,2,Nie zawsze działa. Uruchamia się po drugim uruchomieniu aplikacji. Opłaty tranzakcyjne i wielkość minimalnych jest co raz to większa.
Tomasz Kulik,5,Super
Paweł Chmielowiec,2,"Ostatnia aktualizacja usunęła funkcję pokazująca największe zmiany na rynku co bardzo pomagało w ocenie rynku i zachodzących na nim zmian, proszę o przywrócenie tej funkcji bez tego max 2 gwiazdki."
Gabriel Gl,3,"Niestety czasami zamkniecie pozycji nie działa, musisz kliknąć kilka razy i zamiast zysku może być strata"
Marcin Prokopczyk,4,Aplikacja nie aktualizuje bieżących cen akcji. Dopiero bezpośrednie wejście w daną pozycję odświeża jej status. Oprócz tego wszystko działa prawidłowo.
Agata Zerka,5,Latwa w obsludze aplikacja. Polecam!
Radek Mie,4,Naradzie 4 potem zobaczymy
jancio15,5,"Jest wszystko, co trzeba"
A S (Asuch),5,Super
Kajetan Sroka,1,"Po ostatniej aktualizacji zupełnie bezużyteczna, wyświetla tylko komunikat o braku połączenia."
matej,1,"Od jakiegoś czasu dziadostwo cena się nie aktualizuje, porażka, było dobrze to popsuli chyba przez to że im zyski spadły"
Tomasz B.,4,👍
Tomasz Bielecki,2,"Zamula, wymaga za każdym razem restatrtu"
art pap,5,Ok
Łukasz Jadwiżyc,5,Wow! Jestem pozytywnie zaskoczony. Idealne uzupełnienie dla kogoś kto chce łatwego dostępu do polskich akcji.
Andrzej Błaszczyk,5,Dobry broker i najważniejsze kontakt z konsultantem w razie problem jest rozwiązywany na korzyść klienta polecam !
Marcin Szczuka,1,Brak poprawy błędów - nie aktualizuje wykresu po powtórnym wyłączeniu appki
Edyta Szczęsna,1,"Nie wiem, czy to tylko moja przypadłość ale aplikacja ciągle się zawiesza wolno reaguje. Nie powinno być to wina tel. Bo mam również aplikacje innego biura maklerskiego i ta działa bez problemu. Edit: wcześniej dalammdwie gwizdki - teraz jedna tylko dlatego że nie mogę dać zero. Zawiesza się non stop."
Konrad Szymański,3,"Pierwsza strona trading nie działa, cały czas się wczytuje bez skutku."
Aleksander Pohl,1,Chlam znowu przestal dzialac a do tego cenzura i brak umieszczania niepochlebnych opinii. Zenada
TOMASZ P.,5,Super platforma.
No Data (Wesoły mnich),1,Dokonuje transakcji bez wiedzy użytkownika
Maciej Kon,2,Brak połączenia przez pół dnia doprowadza mnie do szału
Paweł Piekut,3,Na s10+ nie da się ustawić stop loss i take profit
Cezary Bugajski,1,Aplikacja nie pokazuje cen bieżących cały czas zawieszona jak się wylogowalem żeby może naprawić problem teraz nie da się zalogować na komputerze działa wszystko ok
Zagajoz,1,Od jakiegoś czasu aplikacja się zacina. Nie pokazuje aktualnych cen.
Paw Jan,1,Wieczny problem z połączeniem i odświeżaniem .
daniel witek,5,Extra
Ada Sza,4,"Całkiem ok , bardzo przejrzysta łatwa w obsłudze aplikacja - natomiast są dwa duże moim zdaniem minusy (automatyczne wygaszanie pozycji po roku) oraz to że dostępne kryptowaluty po pierwsze jest ich na ten moment bardzo mało (usunięte między innymi z dnia na dzień Dash i ethereum classic) :/ a po drugie te co są - są mega drogie tak więc w weekend nie ma co robić za bardzo .. Chyba przeniosę się na weekendy gdzie indziej 🙈 szkoda 😒"
Paweł,5,"Apka łatwa w obsłudze, widoki przejrzyste i intuicyjne. Założenie konta proste i szybkie. Można zadzwonić do konsultanta w razie wątpliwości przy potwierdzaniu tożsamości. Niestety nie ma możliwości składania zleceń Trailing Stop Loss, a przynajmniej nie w przypadku handlu akcjami."
Paweł Wójcik,4,"Funkcjonalność aplikacji mobilnej daje wiele do życzenia. Przełączniki Stop Loss i Take Profit nie działają. Słaba ergonomia odnośnie wartości składowych portfela, aktualnej sytuacji spółki, otwarcia i zamknięcia pozycji. Gdyby nie wersja na komputery stacjonarne, ciężko by było coś ugrać i nie zrobić sobie krzywdy."
Sławomir Białęcki,4,Używam od roku. Gdyby bylo wiecej krypto dostępnych itp. Bylo by 5 gwiazdek. Support konkretny.
Piotr Kłosiński,1,"Bardzo słabo. Nie ma możliwości sortowania w żaden sposób obserwowanych spółek, nie można ustawić stop lossa lub take profit na akcjach z poziomu aplikacji co uważam za największą wadę."
Mateusz Laube,3,Po aktualizacji na samsung s10plus aplikacja zmuliła. Notowania nie aktualizują się oraz jest problem ze składaniem zlec. Wcześniej było super.
Pawel Foryś,5,Intuicyjna
Sylwester Borszyński,5,Extra
Krzysztof Xxxx,5,"Aplikacja bardzo czytelna, intuicyjna, działa płynnie. Łatwa w obsłudze. Polecam wersję demo dla początkujących"
Jozek Nichol,1,Zawiesza się
Ruben Zabłocki,1,"Po ostatniej aktualizacji aplikacja nie może pobrać danych. Loader ładuje się bez końca. Aplikację trzeba zamykać i uruchomić kilka razy, żeby złapało połączenie z internetem."
M R,4,"Ok, jedynie denerwują mnie nieco wykresy notowań; Aktual8zacja 29/08/2021: niestety od kilku tygodni kursy się zawieszają, nie wyświetlają, wszystko wstrzymuje , trzeba wchodzić i wychodzić w dana pozycję - procenty , wynik na danym instrumencie itd.; generalnie aplikacja do poprawy!"
Kamil Szos,5,"Bardzo fajna platforma, dosyć intuicyjna, bardzo profesjonalna obsługa klienta. No i oczywiście prowizję na niskim poziomie, śmiało mogę polecić"
Artur Brzeziński,5,Jest Ok
Ireneusz Płoskowicz,5,Prosta obsługa i wiarygodny partner.
Tomasz Werchowicz,1,Aplikacja nie aktualizuje kursu. Wiesza się i laguje.
Adam Wyzykowski,1,Proszę poprawcie ta aktualizacje ponieważ nie uaktualnia notowań przy wchodzeniu. Trzeba zatrzymywać aplikacje i wtedy się włącza na jeden raz. Przy kolejnym wchodzeniu do aplikacji już trzeba ten proces powtarzać. Narazie nie działa a szkoda bo fajnie dzialala.
Robsi Z,5,Git
michal Podolski,5,ok
Radoslaw D,2,Zróbcie coś z tą aktualizacją!!! Nie można niczego śledzić!!!
Pawel Gazda,5,Wszystko profesjonalnie
Lone Rider,5,aplikacja OK
michal gieralt,1,"Chwilowo 1 gwiazdka, zrobcie update by użytkownik mógł zmieniać kolejność zakładek (ulubione, hot, nastroje rynku, największe zmiany, inne użytkownika), jest to MEGA SLABE, PONIEWAZ ZA KAZDYM RAZEM GDY WCHODZE DO APKI MUSZE 4x przesuwać palcem w lewo by w końcu dokopać się swoich własnych zakładek..."
Kamil Z,4,Kiedy dodacie wskaźnik gęstości akumulacji i dystrybucji (vd) do aplikacji?
Darek Pinkowski,4,Oki
Cezary X,5,Proszę pamiętać że nie można dawać zleceń przed otwarciem GPW
Dam Trade Kmiec,5,Mega polecam każdemu
Tomasz Tomasz,5,Dużo opcji czytelny interface warto 😍
Sylwester Szczesniak,5,"Działa, nie wiesza się. Ok"
Kkkkoiot Edytydgk,4,"Póki co, jako żółtodziob, ćwiczę na trybie demo dlatego 4/5. Aplikacja wydaje mi się w miarę intuicyjna lecz, tak jak mówiłem jestem żółtodziobem, nie mam porównania co do innych aplikacji tego typu. Czeka mnie jeszcze trochę nauki w tym temacie, ale czuję że pliki szkoleniowe zawarte w aplikacji mogą być pomocne (jeszcze ich dobrze nie przejrzałem z powodu braku czasu). Tak więc jak mówiłem narazie 4/5 jeśli taki swierzak jak ja da radę ogarnąć aplikacje to napewno dam 5/5"
Witold Sroka,5,Jest ok
Darek Didenko,3,"Sporo niestabilności w tej apce. Zawiesza sie, znikaja kwoty, czasami nie reaguje na buy/sell i trzeba klikac kilkukrotnie by zaskoczyło. No wkurza sie czasami człowiek, tyle powiem."
Artur Kaczmarzyk,3,Aplikacja w portfolio nie odejmuje opłat swap w zakonczonych transakcjach. Pokazywane kwoty z danego okresu różnią się od tych wyswietlanych na komputerze. Prosze o poprawe w nastepnej aktualizacji. Pozdrawiam Artur
Adam Ilnicki,5,Jak wygląda wypłata ewentualnego zysku ? Czy niema żadnych problemów z tym ?
Arek K,5,Dla mnie super!!
Michał Marks,5,Polecam wszystko gra !
sasa assa,4,Przydalyby sie widgety
Michał Banasiak,5,"Polecam aplikacje, na razie się uczę"
Robert S.,4,Bardzo intuicyjna aplikacja. Obecnie obsługuje niewiele kryptowalut (tylko CFD). Przydałby się stop loss kroczący. Dźwignie są ustawione przez brokera.
Mateusz Koncewicz,1,Niby jest konto demo ale szybko wygasa. Nie da się handlować po dużych korektach lub wzrostach. Beznadzieja. Nie polecam
Dorota DorKa,5,Najlepsza aplikacja z jaką miałem doczynienia spokojnie można na niej inwestować bez komputera
Tadeusz C.,2,Jestem na XTB dlugo mozna powiedzieć i w sumie nic dobrego z tego...a teraz zajrzałem po paru miesiącach i widzac prowizje jakie dowalili odradzam tą platforme. 1gwiazdka wiecej za przejrzystość apki
Lukasz Borowik,5,Ciekawe
Szuwarek44,5,Polecam 💪 5/5
Bartek Zaczyk (Popa93),5,"Brakuje powrotu do tego samego miejsca, po przeglądaniu dokładniejszym danej spółki. Wywala nas zawsze na początek listy, co jest dość uciążliwe. Poza tym bez zarzutów. Edit. Super, że zdecydowano się rozwiązać ten problem, aktualnie aplikacja działa bez jakichkolwiek zarzutów, dlatego też poprawiłem swoją ocenę z 4 na 5 🙂"
Tomasz,5,Jest ok
Sławomir Kotowski,5,Prosta czytelna
Mariusz Zawada,4,Przejrzysta i funkcjonalna aplikacji. Jedynym minusem jest brak instrumentow z Chin.
Hub,1,"Koszmarnie niedopracowana apka, czesto sie zawiesza, przy przewijaniu listy ulubionych pozycji nierzadko jakas pozycja sie kasuje, albo przesuwa na inną pozycje, poszczegolne pozycje sa za daleko od siebie, do tego dochodzą zbędne paski przez co naraz widze zaledwie 6 spółek na liście, zeby usunąć pozycje z ulubionych trzeba wchodzic do szczegolow waloru jakby nie dalo sie wstawic gwiazdki przy kazdej pozycji. Do części zmian trzeba sie log. do pokoju inwestora, problemy z przelewami, itd. Dno"
Krzysztof Miklaszewski,5,"Nie da się posortować pozycji na liście, poza tym ok"
Marcin,1,Jak kiedys było ok ( do zabawy) jak weszły większe kwoty to zlecenia oczekujące sie nie uruchamiają. Co najlepsze znikaja...
Danuta Lisowska,1,Problem w apce to juz norma. Chce sprzedać aktywa i sie nie da🙈 bo wyrzuca.
Michal Kolarz,5,"Na razie się ucze, ale nie jest to skomplikowana aplikacja."
Adam,5,Najbardziej przejżysta aplikacja.
Marek Gajos,5,Polecam
Krzysztof Z,1,"Juz tracę cierpliwość do interface dotykowego na android. Popatrzce na niedościgniony Tradingview i zróbcie coś. Brak dokładności, nadwrażliwość na dotyk, itd....."
Pawel MKU,1,"Sygnały, zagrania dnia to jedna wielka ściema, SL 2 razy niższe niż TP, zarobek tylko dla brokera od 2 miesięcy testuje to jest ciągła strata lub nawet pozycje ładnie idą ALE W PRZECIWNYM KIERUNKU OD SAMEGO POCZATKU"
Klaudia Bukowska,4,"Mam problem z zainstalowaniem tej aplikacji na Huwei p40 lite. Piszę że aplikacja jest zainastolawna ale nie ma nigdzie jej w telefonie. Lub inny komunikat się wyświetla, że aplikacja wkrótce zostanie zainstalowana na telefonie. Co. Można zrobić?"
Maciej Barabasz,2,"Ledwo uruchomiłem i z każdym kliknięciem XTB chce ocenę, to na początek 2 za SPAM."
Mateusz Dudek,5,Bardzo fajna aplikacja.
marmel marmell,5,👍Good so far 😎
Maksymilian Jurek,5,Dobrze jest
Marian Marek Kędzierski,5,"Although viewing charts leaves a bit to expectation, the overall experience is really good!"
Robert Paszkiewicz,1,Od jakiegoś czasu Nie mogę ustawić na akcjach SL. Mogę tylko zamknąć zlecenie mimo że guziki do tego służące są w aplikacji i są zablokowane. Dramat. Pomimo niskiej oceny brak odpowiedzi od xtb. Zmniejszam do min.
PIOTR GLAGOL,4,Całkiem spoko
Borys Łankiewicz,5,"Have not encountered any issues during almost a month of use. Around the time I created an account, I got a call from their call center. Very positive guy answered all the questions and doubts that I had. Recommended!"
Przemyslaw Staniewski,5,Super Polecam
Jarosław Iwaniec,5,Ok super
Wojtek P,5,To jest to na co czekałem
Marcin Dzikowski,5,"Wszystko jak należy, apka bardzo intuicyjna."
exys exys,5,Jak na aplikację na smartfona to super!!!
Mateusz,4,Wszystko okej. Czy jest możliwość dodania weryfikacji dwuetapowej podczas logowania?
Mateusz Falowski,5,Ok
Dawid Kuta,5,Wszystko ok!
Rodzyn niak,5,I dziękuje w końcu za normalny rynek Futures na kryptowalutach.
Tomasz Fronczyk,3,"Aplikacja w porządku, ale ma swoje wady. Mimo częstych aktualizacji ciągle się zawiesza relatywnie często bądź się nagle wyłacza."
Marcin Koza,5,Super
Michał Zajkowski,5,Moim zdaniem najlepsza apka na rynku. Brak prowizji przy kupnie akcji też robi robotę. Konkurencja tego nie lubi - stąd negatywne wpisy. Tak sądzę.
Hubert Dzikuć,1,"80 USD zniknęło mi z przelewu za 400 USD (czyli około 20%) na Polskie konto USD w PKOBP, bez podatku itp, po prostu wpłaciłem pieniądze i zaraz musiałem wypłacić. XTB zwala winę na Pekao SA, ale nie chcą złożyć reklamacji. Pekao SA tłumaczy się że bierze max 0.5% z przelewu, mam nadzieję że KNF rozstrzygnie sprawę."
Szymon B,5,Sprawdza się gdy nie mam pod ręką laptopa.
B A,2,Jak w takiej apce może nie być jeszcze 2FA to jest wręcz niepojęte. Ogarnijcie się wreszcie.
Mateusz Ślużyński,1,Git
Piotr Jarosz,4,jest ok
Aleksandra “O.eL.Ka2”,5,Ok 👌
Marek Zagórski,4,Jest ok
Paweł Majewski,4,Fajna
Ryszard Wojciechowski,5,Jestem początkującym
Wojciech Strąk,2,"Nie można założyć konta demo. Ciągłe wyskakuje błąd że hasło nie spełnia wymagań, podczas gdy tak naprawdę spełnia wszystkie wymogi. Edit: Po jednym dniu od próby rejestracji dostałem mail, że udało mi się zarejestrować."
Mariusz Nyczaj,5,Aplikacja super. Polecam.
Pawel Lempicki,4,Średnie
Seweryn Woszczak,4,Witam Dlaczego aplikacji nie ma w Huawei AppGallery? Mam telefon z tej firmy i nie mogę na nim zainstalować nic z Google Play. Czy przewidywane jest udostępnienie aplikacji z platformy Huawei?
Paweł Fronc,5,Rozbudowany i bardzo wygodny interfejs.
Romuald Kukula,4,"Ogólnie po ponad miesiącu aktywnego użytkowania platformy jestem zadowolony, a już na pewno dużo bardziej niż z wcześniejszego Metatradera 4"
Krzysztof Stefan,3,"Zmiana w zakresie ""sentymentów"" na bardziej uproszczone moim zdaniem na minus. Zarówno w formie jak i treści."
Wojciech Czapski,4,"Aplikacja b. fajnie działa,przydałaby się możliwość ręcznego przesuwania na wykresie SL,TP dotykiem wraz PROCENTOWYM określeniem ustawień parametrów."
Sargon The Great,5,Alesgut
Adam Giegiel,4,"Cfd na krypto nie działa jak należy - na PC ustawia się tak, jak chce, tutaj zamiast realizować TP, to kupuje mi ponownie na shorty dany instrument."
Krzysztof Chmiel,4,Ok
Aaa Te,4,Nie rozumiem dlaczego w wersji mobilnej nie ma większości wskaźników. Takie srsi na przykład czy sar albo adx nie ma a są dostępne są np pivot i podstawowe oscylatory. Poza tym jest dobrze. Z kolei jeżeli na androidzie jeżeli uda się odpalić wersje na przeglądarce to nie da się przesuwać wykresów. A na tablecie widać najlepiej.
Kinga Kądziela,5,Super 👌 👌 👌
Filip Traczyk,5,Aplikacja bije na głowę super maklera PKO i jest w mojej opinii nieznacznie lepsza od aplikacji maklera ING (gdzie nie widać tak dobrze podsumowania portfela)
Henryk Chojnacki,3,Git
Rafał Wydro,5,Super
Maciej Rudecki,4,Bardzo rozbudowana apka ale moim zdaniem wymaga odświeżenia wyglądu by było bardziej czytelnie brakuje też opcji zlecenia przez Apple tak to działa bez problemu
Piotr Kozłowski,4,"Aplikacja ma swoje zalety jak i wady . Z plusów można wymienić czytelność interfejsu, funkcjonalność i darmowe kupowanie akcji . Z minusów np. brak w aplikacji mobilnej wartości pozycji widocznej w PLN . Dość wysokie spready na części instrumentów Forex ."
Agnieszka,1,To prawda wpłacać pieniądze na ich platwormę to szbko ale wypłacici cienszko dam 5 gwiazdek jak bendzie wszystko ok
Zbigniew Klima,5,Chyba bardzo fajna :)
Rafal Hudzinski,5,👍
Lukas Munchen,5,Wszystko działa
Kamil,5,Good app
Przemysław Wierzbicki,5,👍👍👍
Andrzej T.,5,Jak się poćwiczy to nieźle to działa.
Aleksander Pietrzak,4,Nie jest źle
Damian Berek,4,Ok
Mirek RxW,5,Narazie się podoba ale zmienił bym parę rzeczy I kilka kolejnych bym dodał.
Grzesiek Zygulski,5,"Filmy obsługi są, Fajnie że demo jest, by się przed prawdziwa gra nauczyć"
Konrad S,5,Intuicyjne
Bogusław Bezu (Bodziolotek),5,Ok. ;)
Piotr Z,1,"Rozszerzają spready, żeby wywalić SL, stara znana technika, na uwalenie klienta, ale teraz weszli poziom wyżej. Sami Zamykają pozycje, w których nie ma ustawionych TP i SL."
Mr Mancis,1,"Słabo, jak zatwierdzić zmiany np zmiana wysokości stop loss ???"
